submission_date,notified_body,company_size,offer_received,offer_accepted,qms_done,techdoc_done,stage,wait_time_qms_audit,wait_time_qms_certificate,wait_time_techdoc_audit,wait_time_techdoc_certificate,cost,comment_duration_cost,rating_overall_experience,would_choose_again,rating_well_organized_responsive,rating_regulatory_pragmatism,rating_technical_competence,comment,comment_why_not_customer
2022-02-28,dekra-netherlands,50-249,,TRUE,TRUE,TRUE,,6,,8,2,,,3,TRUE,4,4,2,,
2022-02-28,mdc-germany,10-49,,TRUE,,,"Clinical audit done, before rest of Tech audit and QMS audit. 4 months before clinical Audit, more than 3 months for the rest of the Tech-Audit (and still waiting). QMS Audit only planned if the clinical audit and a first positive report on the Tech Audit is performed.",,,,,,No planification possible and further delayed are announced each 3 weeks. ,3,FALSE,2,3,4,,
2022-02-28,bsi-netherlands,>=250,,TRUE,TRUE,,"Other departments in our company handle Techdoc reviews, so we only have QMS certification",6,5,,,"13485 Recertification Audit will cost 7000 euro, yearly management fee 1400 euro. Stage 2 audit was 9700, CE Marking Application + ISO 13485 5500",,4,TRUE,4,4,3,"Compared to our company's corporate audits, which try to mimic an FDA audit, the BSI audits are pretty meek. Back in 2019 we used to get more findings, but ever since revamping our QMS the BSI audits tend to be a cake walk. Last year we got such a junior auditor, that he had trouble getting through all the material, that he really had to skim documents, those are the ""best""",
2022-02-28,mdc-germany,10-49,,TRUE,,,Client since 10 years MDR TD and QMS in progress,6,2,5,,30.000€,,5,TRUE,4,5,4,,
2022-02-28,bsi-netherlands,10-49,,TRUE,,,,3,,,,,,4,TRUE,5,4,4,,
2022-02-28,sgs-finland,10-49,,TRUE,TRUE,TRUE,,5,1,1,1,About 20.000€,,5,TRUE,5,4,4,"With, the  SGS everything has been very fluent so far.",
2022-02-28,bsi-netherlands,10-49,,TRUE,,,,,5,,,,,5,TRUE,5,4,4,,
2022-02-28,dqs-germany,10-49,,TRUE,TRUE,TRUE,,6,3,5,2,10.000€,,4,TRUE,4,5,4,,
2022-02-28,tuev-sued-germany,1-9,FALSE,,,,,,,,,,,1,,1,,,,They did not even declined our request but just did not answer for 2 years
2022-02-28,intertek-sweden,1-9,,TRUE,,,,,,,,,"They are very friendly, responsive and motivated to answer questions ",5,TRUE,5,4,5,,
2022-02-28,berlin-cert-germany,1-9,TRUE,FALSE,,,,,,,,,,5,,5,5,5,,Notified Body of a consulting customers. BerlinCert belongs to frech Afnor Group and will get MDR accreditation in Mai 2022. They Do active medical devices and samd. Good chances and vonpetent staff. 
2022-02-28,dekra-netherlands,10-49,,TRUE,,,,7,,,,,,4,TRUE,4,5,4,I’ve worked with Dekra in a previous job as well. Sometimes it felt as if we were paying them for consultation rather than an audit. I certainly did not feel like I needed to hide things from them.,
2022-03-01,siq-slovenia,10-49,,TRUE,TRUE,TRUE,,2,2,24,,30.000€,"Never get close to SIQ, they lure companies to get their financial resources but do not follow on their commitments and leave companies uncertified. ",1,FALSE,1,3,1,SIQ is our horror story. ,
2022-03-01,imq-italy,1-9,,TRUE,TRUE,TRUE,,18,1,18,18,More than 20.000€,Too long time to receive any response. Some NC without any sense,2,FALSE,2,2,3,More than 6 months to checks their forms and start to review our TF,
2022-03-01,sgs-finland,10-49,,TRUE,,,,12,,,,50.000€,We haven't received proper requirements for the audit in advance and this has delayed the audit by 1-2 months ,2,TRUE,2,2,2,"We have been in the process to certify our products for over 4 years. Still, just before the audit, the Notified body has questioned our device class (I,IIa, IIb or III) and even if we should be regulated under IVDR or MDR. This has caused a lot of unnecessary work, confusion, worry, delays and costs. And we are still not sure, what's the ultimate verdict by the Notified body. We have tried to clarify this issue many times with the national authorities and consultant companies, but nobody is willing to take the responsibility for the decision.  

Our lead auditor has little to no experience in software development and only basic understanding of medicine. This has led to many meetings where we are explaining basic things related to both of these fields to her, even though WE are paying the Notfied body an hourly rate of close to 400 euros for these ""consultations"". This is nuts!

The notfied body is mandating certain certificates or trainings, e.g. for 62430, to be completed before an audit can be passed, but they are also the only company in the country, who are providing these certificates or trainings. So, basically they are forcing us to buy their products (which are not cheap). This should be against the competition legislation. ",
2022-03-01,berlin-cert-germany,1-9,,TRUE,TRUE,TRUE,Got certification and had recertification after three years already,7,2,3,2,"for MDD: 3.500€ per review, 5.000€ - 9.000€ per audit",,5,TRUE,5,5,5,LaGeSo is the worst...,
2022-03-03,tuev-sued-germany,10-49,,TRUE,TRUE,TRUE,,9,6,5,0,"20.660,07€ (From Scratch to Market Ready)",,3,TRUE,3,3,3,,
2022-03-03,medcert-germany,10-49,FALSE,,,,,,,,,,,1,,3,,,,"N/A - Only asked for offer on the phone, simply got laughed at that I wanted to be a client"
2022-03-04,tuev-sued-germany,10-49,,TRUE,TRUE,TRUE,,6,4,3,6,27.000€,TÜV Prüfhaus was a life saver for our company. Auditor changed 3 times during initial processes. ,3,TRUE,3,5,3,"The auditor changed so many times, prolonging processes. Different classifaction during this process for our products. Different time scales from different auditors. Billing with part bills that did not need to be paid.  ",
2022-03-06,tuev-sued-germany,1-9,FALSE,,,,,,,,,,,1,,1,1,1,,too much work with not enough pay for them
2022-03-08,sgs-belgium,>=250,,TRUE,TRUE,TRUE,ISO 9001. ISO 13485 (MDSAP) and CE (MDD) certification for 9 years in my previous company. Stopped and went to another NoBo this year ,,,6,6,,"We had troubles with our techdoc review some years ago, could not agree with the reviewer who was very picky. He gave no warning that we were exceeding the max review time of 6 months and our CE was suspended, so we could not CE label our products anymore (and sell). Image what this meant for us. Any NC they bring up, takes extra time from them. They obviously bill that. Having many NC's is also very costly.",3,FALSE,2,3,4,Communication was sometimes very difficult. Never clear answers. Two years ago they said they would be MDR designated soon. Last year the same. I think they were only designated recently.,
2022-03-09,imq-italy,1-9,,TRUE,,,,3,1,,,,,4,TRUE,4,3,4,,
2022-03-09,tuev-rheinland-germany,10-49,,TRUE,TRUE,TRUE,,,3,3,,"for MDR + 13485, approx 35.000€","if you are a long term customer and have a good relationship with the notified body, the cooperation can be uncomplicated. for new companies it is much more difficult i've heard and read. ",4,TRUE,5,4,3,,
2022-03-16,dqs-germany,50-249,,TRUE,TRUE,TRUE,,6,,6,,30.000€,,3,FALSE,3,5,5,,
2022-03-21,dekra-germany,1-9,FALSE,,,,,,,,,,,1,,3,,,,"They said they are booked until the end of 2022 and we can call again THEN to see if they have any capacity in 2023, but they don't think so."
